price,speed,hd,ssd,ram,screen,touch,usb,battery,backlit,resolution,graphics,cd,multi,premium,ads,trend
4301.365342,30,337,yes,27,17,no,1,3,yes,2059,integrated,yes,yes,no,41,3
6228.499859,91,208,no,25,14,yes,1,2,no,3182,dedicated,yes,no,yes,54,3
4816.297393,94,113,yes,12,15,no,4,7,yes,3811,integrated,yes,no,yes,16,4
3793.177323,35,410,no,12,17,yes,1,4,yes,2342,integrated,no,no,yes,54,4
3920.12268,61,327,no,2,15,yes,4,6,yes,2317,dedicated,yes,yes,yes,34,1
4486.723416,25,410,no,29,15,no,2,4,no,1876,dedicated,yes,yes,no,47,3
5581.456191,1807,139,yes,25,17,no,3,5,yes,2003,dedicated,no,yes,yes,63,3
4469.881239,63,319,yes,15,17,yes,3,8,yes,2931,dedicated,no,yes,yes,11,3
3990.122212,45,101,no,15,15,yes,2,5,no,1316,dedicated,yes,yes,yes,60,4
5001.632433,70,440,no,8,175,yes,4,3,yes,3184,integrated,no,yes,yes,58,1
4029.287922,43,200,yes,27,17,no,3,7,yes,1281,dedicated,yes,no,no,38,4
5256.724752,59,408,no,22,None,yes,1,9,no,3394,integrated,yes,yes,yes,42,3
3727.520664,33,319,no,9,14,no,3,2,no,3227,dedicated,yes,no,no,20,4
4883.258052,52,447,yes,16,15,no,1,9,no,3883,dedicated,yes,yes,no,82,3
4604.859906,67,317,yes,31,16,yes,1,6,yes,1942,integrated,no,no,no,17,2
3031.887287,43,444,no,15,14,no,1,2,yes,1523,integrated,no,no,no,9,4
3458.877896,59,373,yes,4,14,yes,1,4,no,2754,integrated,yes,yes,no,56,1
4388.957518,50,344,no,None,17,yes,1,6,yes,2518,dedicated,no,yes,yes,62,4
5594.458517,72,303,no,30,14,yes,3,4,yes,1362,dedicated,no,no,yes,76,2
473541.4334,80,378,no,16,15,yes,2,3,yes,1569,dedicated,no,yes,no,75,3
4020.904396,37,364,yes,14,14,no,1,3,no,3059,integrated,no,yes,yes,55,1
3781.374528,37,427,yes,24,15,yes,3,9,no,1164,integrated,no,no,yes,72,1
4694.602751,69,363,yes,18,14,yes,4,2,no,1487,dedicated,yes,no,yes,74,4
4858.988175,31,486,yes,14,15,yes,3,5,no,3654,dedicated,no,yes,yes,72,1
1906.38628,25,7,yes,5,14,no,3,2,no,1298,integrated,no,yes,no,8,2
4834.152081,35,395,yes,10,14,no,3,4,yes,4090,dedicated,yes,no,yes,70,4
4728.813287,78,106,yes,7,16,yes,2,6,no,3511,dedicated,no,no,yes,88,4
4566.645307,30,384,no,25,16,no,1,5,yes,3604,integrated,yes,no,no,6,4
4597.473812,78,481,yes,7,14,no,4,8,no,3387,dedicated,no,yes,no,91,1
4855.158315,96,432,no,14,16,no,4,3,yes,2026,dedicated,no,yes,no,49,3
2979.886287,38,201,no,4,15,no,1,5,no,2564,dedicated,yes,no,no,34,4
4509.180072,41,319,yes,16,16,yes,4,8,no,3887,integrated,yes,yes,no,31,1
4031.348132,58,165,no,14,14,no,1,4,yes,2292,integrated,no,no,no,91,3
5102.725775,92,215,no,12,16,no,1,3,no,2342,dedicated,yes,yes,yes,83,4
2663.953723,31,195,yes,3,105,no,4,9,no,1454,integrated,yes,yes,yes,93,1
4000.231566,45,251,no,16,17,no,4,2,yes,1447,dedicated,no,no,yes,41,4
4604.553881,61,150,no,3,14,yes,4,3,no,3734,dedicated,no,no,yes,69,3
3795.225878,62,478,no,20,14,no,1,8,yes,1757,dedicated,no,yes,no,8,2
4718.449494,27,195,yes,17,15,yes,2,4,yes,3120,dedicated,yes,yes,no,72,4
4508.364002,47,356,yes,21,15,yes,1,7,no,2876,integrated,yes,yes,yes,28,1
3038.175155,61,178,no,6,15,yes,3,4,yes,1870,integrated,no,no,no,17,4
3733.960741,65,305,no,15,15,no,4,9,no,2099,integrated,yes,no,no,47,4
4870.77361,32,165,no,18,16,yes,3,9,no,3601,dedicated,yes,yes,yes,31,2
5206.721949,33,361,no,17,14,yes,2,3,yes,3420,integrated,yes,yes,yes,92,1
4089.999782,61,478,yes,27,14,no,3,9,no,1457,dedicated,no,yes,no,25,1
4053.091208,64,302,no,11,16,yes,1,4,yes,2413,dedicated,yes,yes,no,21,2
3944.894534,28,368,no,6,15,yes,3,5,yes,3190,dedicated,no,no,no,98,4
3771.958199,33,266,no,11,16,yes,4,3,no,3151,integrated,yes,no,no,30,3
3631.630044,30,446,no,8,17,no,4,9,no,3685,integrated,no,yes,no,42,1
3767.403538,64,347,yes,5,14,no,2,7,yes,1956,integrated,yes,yes,yes,99,4
5473.88801,56,496,no,22,17,yes,1,2,no,2590,integrated,yes,yes,yes,70,1
5325.159238,58,435,no,18,14,no,3,2,no,3681,integrated,yes,no,yes,64,3
3898.148536,67,424,no,8,17,yes,1,8,no,2247,dedicated,yes,no,no,67,4
5107.604956,37,259,no,14,17,yes,4,3,yes,3747,integrated,no,yes,yes,50,4
4.086203805,67,125,no,19,14,no,1,5,yes,3749,integrated,yes,yes,yes,22,4
4606.482233,93,202,yes,17,14,yes,2,8,yes,1430,integrated,yes,no,yes,85,4
3640.83426,21,321,no,25,17,yes,4,8,yes,1608,integrated,no,no,no,29,4
3649.52743,41,482,no,2,15,no,2,7,yes,3330,integrated,no,yes,no,93,2
4924.956331,53,164,no,19,16,no,2,2,yes,2979,integrated,yes,yes,yes,26,3
3760.072079,37,364,yes,30,15,no,4,8,yes,1302,dedicated,no,no,no,22,2
4188.695128,86,309,yes,11,14,yes,4,8,no,1554,dedicated,yes,yes,no,69,1
5093.430819,25,392,yes,23,15,no,2,7,yes,2996,dedicated,yes,yes,yes,92,1
2968.172537,66,334,no,3,16,yes,2,7,no,1219,integrated,no,no,yes,74,2
3714.883973,86,194,no,3,14,yes,1,6,no,2096,integrated,yes,no,yes,62,2
4287.592326,67,400,yes,2,15,yes,2,9,yes,3585,integrated,yes,yes,yes,77,2
4104.052716,34,390,yes,20,15,yes,4,6,no,2794,integrated,yes,yes,no,19,2
5301.83864,92,234,yes,27,16,yes,3,3,yes,2511,integrated,yes,no,no,15,2
4448.592017,48,298,no,28,17,no,2,4,yes,1725,integrated,yes,no,yes,13,1
3302.919739,20,387,no,10,15,yes,3,5,no,2207,integrated,no,yes,no,73,3
3887.184471,50,266,no,3,16,yes,4,3,yes,2472,integrated,yes,yes,no,81,2
5608.987867,86,419,no,21,14,no,4,6,yes,2990,dedicated,yes,no,yes,49,2
4189.238699,76,282,no,12,16,yes,4,8,no,2372,dedicated,yes,yes,no,18,2
4215.493662,99,269,yes,10,16,no,1,6,yes,1287,dedicated,yes,yes,no,97,4
4695.682556,60,478,yes,13,17,no,4,5,yes,1846,dedicated,yes,yes,yes,96,4
5458.504216,92,449,no,15,15,yes,2,7,yes,3435,integrated,no,yes,yes,60,2
3212.684449,59,80,no,14,17,yes,4,8,yes,1104,integrated,no,yes,no,18,3
5594.932584,27,216,yes,28,16,yes,4,4,yes,3334,dedicated,yes,no,no,90,4
3316.148668,37,169,yes,5,16,no,1,8,no,3982,integrated,yes,yes,no,28,3
4829.819699,84,82,no,17,16,no,2,7,no,1768,integrated,yes,yes,yes,88,4
5164.555362,42,243,yes,30,16,yes,3,,yes,3228,dedicated,yes,yes,no,8,1
4747.290211,68,279,no,13,16,yes,2,9,no,2868,dedicated,no,yes,no,95,3
5242.779997,74,365,yes,24,14,yes,3,8,no,2704,dedicated,yes,yes,yes,14,4
4028.708643,47,401,no,21,16,yes,1,3,no,1421,integrated,no,yes,no,61,3
5184.037942,77,93,no,26,17,yes,4,3,no,1374,dedicated,no,no,yes,42,1
3348.627645,45,357,yes,2,14,no,2,4,no,3648,integrated,yes,yes,no,39,2
4278.278965,45,256,yes,16,17,yes,3,5,no,1545,dedicated,no,yes,yes,74,1
3727.192682,51,343,no,12,16,no,4,6,yes,1924,integrated,yes,yes,yes,15,2
5457.517676,57,176,yes,29,17,yes,3,9,yes,2894,dedicated,yes,no,no,63,1
4699.715971,71,250,yes,12,16,no,3,8,yes,3395,integrated,no,yes,yes,55,2
4088.494303,98,487,no,11,14,yes,4,7,no,1145,dedicated,yes,no,no,62,4
4196.762752,74,80,yes,6,17,no,1,7,no,4011,integrated,yes,no,no,73,3
4597.890285,90,384,yes,21,17,yes,3,5,yes,1383,integrated,yes,yes,yes,7,3
3783.319888,72,331,yes,6,16,yes,3,2,yes,2572,dedicated,no,yes,no,2,2
3615.618767,47,339,no,6,14,no,3,4,no,2195,integrated,yes,no,yes,79,3
4215.274327,55,336,no,29,17,no,2,4,no,1719,integrated,no,no,no,27,1
6214.296693,97,127,yes,27,17,no,3,3,yes,3495,integrated,yes,no,no,82,3
4018.812301,55,288,no,7,17,yes,1,9,no,3073,dedicated,no,no,yes,58,2
4211.792009,82,237,yes,5,14,yes,1,5,yes,3032,integrated,no,no,yes,84,2
3505.521168,39,136,yes,5,17,no,2,7,yes,2098,dedicated,yes,yes,yes,81,3
4377.797895,84,271,yes,9,15,yes,1,8,no,1977,dedicated,no,yes,yes,94,2
6607.848561,93,302,yes,29,14,yes,2,3,no,3754,integrated,no,no,yes,93,1
4113.775015,30,139,yes,22,15,no,4,7,yes,1221,dedicated,no,yes,yes,82,2
4856.665628,52,87,yes,27,14,yes,3,3,yes,2158,integrated,no,no,no,80,4
5508.955083,84,275,yes,12,17,yes,3,4,yes,3951,dedicated,no,no,yes,55,4
4616.870753,23,421,no,24,14,no,4,4,yes,1908,integrated,yes,no,yes,92,1
3586.964387,91,244,yes,12,17,yes,4,6,yes,1276,integrated,no,no,no,23,2
6175.23539,81,265,no,27,16,yes,1,8,yes,3805,integrated,yes,yes,yes,42,4
3288.703451,39,362,no,13,14,yes,2,6,yes,1446,dedicated,no,yes,no,26,3
4759.573009,62,324,no,27,15,no,2,5,no,2476,integrated,yes,no,yes,10,2
5372.624224,84,489,yes,31,17,no,4,7,yes,2260,integrated,no,no,no,55,2
4758.353932,97,182,yes,25,17,no,4,3,no,1238,dedicated,no,no,no,55,4
5851.949688,83,103,yes,27,16,yes,1,3,yes,2894,dedicated,no,yes,no,59,3
5225.733617,84,165,yes,20,16,yes,3,9,yes,2990,dedicated,no,no,yes,52,1
4046.785385,45,344,yes,12,17,no,2,2,yes,1703,dedicated,yes,yes,yes,49,3
2994.128334,23,257,yes,8,17,yes,3,5,yes,1140,integrated,yes,yes,yes,,1
5006.717931,94,140,no,18,15,yes,1,3,yes,2059,dedicated,yes,no,no,48,1
4656.978627,57,297,yes,17,14,no,4,5,yes,2036,integrated,yes,yes,yes,95,4
3996.715403,23,154,no,19,16,yes,3,7,yes,2415,dedicated,no,yes,no,23,1
4755.682735,42,118,no,12,14,yes,3,5,no,3917,dedicated,yes,yes,yes,14,1
6306.089992,49,235,no,31,16,yes,2,5,yes,3385,dedicated,yes,no,yes,68,3
4172.22848,50,146,no,5,14,no,3,3,yes,3480,dedicated,yes,yes,yes,24,3
5166.242048,99,494,yes,24,17,yes,1,7,yes,2316,integrated,yes,yes,no,36,2
5686.29402,90,286,no,26,15,yes,3,5,yes,2931,integrated,no,no,yes,28,3
4713.096375,91,402,no,12,15,no,1,7,yes,3772,integrated,yes,yes,no,12,3
3608.075071,48,90,no,7,14,yes,4,5,yes,1696,dedicated,yes,yes,no,73,1
5229.691562,81,195,no,12,14,yes,3,5,yes,3249,dedicated,no,no,yes,67,1
4299.691074,94,124,no,5,15,no,2,4,no,2290,integrated,yes,no,yes,94,4
5506.850972,73,417,yes,30,16,no,3,4,yes,3016,integrated,yes,no,no,43,1
4551.181772,97,177,no,5,15,yes,2,9,yes,3906,integrated,yes,no,no,39,2
5684.378428,37,370,no,29,14,yes,3,4,yes,3772,integrated,no,yes,yes,25,2
4576.022916,57,228,yes,7,17,yes,3,6,yes,3492,dedicated,no,yes,yes,49,4
4019.858878,33,114,no,13,16,no,4,7,no,3206,integrated,yes,no,yes,51,2
3730.934768,94,172,no,5,15,no,3,4,no,2139,dedicated,yes,no,yes,2,1
4953.215249,90,322,no,22,14,yes,2,7,yes,2078,dedicated,yes,yes,no,21,3
4564.188572,52,130,no,25,15,no,4,5,no,1243,integrated,no,yes,yes,90,4
5358.77576,94,154,no,24,17,yes,2,5,no,1810,integrated,yes,yes,yes,45,1
5164.814352,67,453,yes,31,14,no,2,6,no,1756,integrated,yes,no,yes,86,3
3514.837393,32,182,yes,24,14,no,2,3,no,2241,integrated,no,no,no,4,4
5602.006275,92,119,no,15,16,no,2,2,no,3184,dedicated,no,yes,yes,67,4
4480.597507,37,152,no,18,16,no,3,3,no,2912,dedicated,no,no,yes,31,4
3884.796169,47,337,no,18,16,yes,2,8,yes,2606,integrated,no,yes,no,1,3
4479.454758,62,104,yes,20,15,yes,3,3,yes,1825,dedicated,yes,no,no,56,1
4608.029161,86,202,yes,23,15,yes,3,7,yes,1146,dedicated,no,yes,no,64,1
5584.196008,74,115,no,25,16,yes,3,2,yes,2901,integrated,no,yes,yes,18,2
3935.040339,58,122,no,7,17,no,2,9,yes,3828,integrated,no,yes,no,32,4
3765.546145,63,299,no,11,14,yes,2,6,no,1321,dedicated,yes,yes,yes,45,2
6028.666089,81,357,no,29,14,yes,3,2,no,3106,integrated,no,yes,yes,20,4
4910.215177,53,394,no,13,14,yes,2,9,yes,3897,dedicated,no,yes,no,61,2
3675.546356,49,214,no,9,14,no,4,2,no,1897,dedicated,yes,yes,yes,19,1
5064.017031,95,347,no,12,16,no,4,2,no,3198,integrated,yes,no,yes,41,3
4865.660481,33,300,yes,23,14,yes,3,6,no,3659,dedicated,no,no,yes,31,1
5091.201936,77,485,yes,27,15,yes,3,8,yes,2975,integrated,no,no,yes,6,3
4787.427945,59,448,no,30,17,no,3,4,yes,2008,dedicated,no,no,no,2,4
4387.514497,26,408,yes,26,15,no,1,8,no,3146,integrated,no,no,no,63,3
5415.113316,29,311,yes,23,14,yes,2,6,no,3651,dedicated,yes,no,yes,91,3
6461.944194,94,423,no,27,17,yes,4,4,no,3065,integrated,yes,yes,no,82,1
3982.564393,34,90,no,24,15,yes,3,6,no,1561,dedicated,yes,no,no,42,1
5281.026256,48,318,no,27,15,yes,4,8,no,2511,integrated,yes,no,yes,86,4
3979.462156,58,473,no,10,16,no,2,5,no,1930,dedicated,no,no,yes,86,1
5465.173273,84,182,no,23,17,yes,3,8,yes,2687,integrated,yes,no,no,85,4
5890.096919,87,430,no,21,14,no,4,7,no,3443,integrated,yes,no,yes,89,2
6160.635276,76,320,no,30,16,no,2,5,no,3173,dedicated,yes,no,yes,59,1
5572.80741,91,347,yes,24,15,yes,3,2,yes,3342,integrated,no,yes,no,7,3
4145.056316,74,235,yes,16,14,yes,2,4,no,1660,dedicated,no,yes,yes,28,4
4310.190592,86,327,no,11,15,no,4,5,yes,1633,dedicated,yes,yes,yes,23,2
3538.68564,22,113,no,7,14,yes,2,6,yes,2599,integrated,no,yes,yes,69,3
4286.98403,62,433,yes,18,16,no,2,3,no,2725,integrated,no,yes,no,23,4
5622.707499,81,132,yes,25,16,yes,3,2,no,1793,dedicated,yes,yes,yes,61,2
2729.705704,41,97,no,2,16,no,2,8,yes,1813,dedicated,yes,yes,yes,22,4
4980.511035,79,492,yes,6,16,yes,2,7,no,3844,dedicated,yes,no,yes,76,4
4778.083467,60,312,yes,13,17,yes,3,9,yes,3593,integrated,yes,yes,no,73,2
4547.907079,63,490,yes,19,17,yes,1,5,yes,2391,integrated,no,no,no,79,1
3567.861437,41,141,yes,7,16,yes,4,8,yes,2105,dedicated,no,yes,no,92,2
4017.295665,47,483,no,2,15,no,1,2,no,3372,dedicated,yes,no,yes,77,1
5128.987679,86,207,yes,23,16,no,4,5,yes,1697,dedicated,yes,yes,no,61,3
5383.527361,55,168,yes,19,16,no,3,6,no,3194,dedicated,yes,yes,yes,78,1
4647.35992,46,358,no,25,14,yes,4,5,yes,1271,dedicated,no,yes,yes,41,1
6172.136668,62,89,no,26,17,yes,4,4,no,3632,dedicated,no,no,yes,63,4
2497.95147,39,393,yes,2,17,no,1,2,no,2637,integrated,no,no,no,14,2
5360.05787,23,494,no,29,17,no,2,3,yes,3242,integrated,no,yes,yes,49,1
4585.334639,93,176,no,16,16,no,3,3,yes,2166,dedicated,yes,no,no,21,2
4858.071993,74,375,no,20,14,no,1,9,no,2822,dedicated,no,yes,yes,24,3
4390.379968,93,136,no,3,14,no,4,9,no,3399,dedicated,yes,no,yes,50,4
6106.28986,98,440,yes,26,15,no,2,4,yes,3049,dedicated,no,yes,yes,46,4
4026.112789,80,443,no,11,17,yes,1,7,yes,2017,dedicated,yes,yes,no,12,4
5032.062813,98,419,no,15,14,yes,2,9,no,2580,integrated,yes,yes,no,87,4
4943.558338,51,208,yes,31,14,yes,1,5,yes,1973,dedicated,yes,no,no,49,1
5068.921619,64,80,yes,15,16,no,4,9,no,3537,integrated,yes,yes,yes,95,1
3938.717302,20,492,no,22,14,yes,2,8,no,2491,dedicated,no,no,yes,18,4
4394.761726,36,412,yes,30,14,no,1,7,yes,2135,integrated,no,no,no,70,2
5169.88577,44,416,no,28,17,yes,3,3,yes,2349,dedicated,no,yes,no,31,2
